Latitude,Longitude,Depth,Magnitude,No,Cluster
0.236,0.711,0.335,0.469,1,3
0.85,0.694,0.012,0.444,2,1
0.876,0.69,0.041,0.446,3,1
0.643,0.616,0.158,0.401,4,3
0.149,0.378,0.115,0.314,5,0
0.636,0.604,0.012,0.23,6,0
0.623,0.563,0.012,0.244,7,0
0.288,0.186,0.015,0.353,8,0
0.813,0.074,0.012,0.234,9,0
0.908,0.017,0.064,0.434,10,1
0.731,0.053,0.036,0.492,11,1
0.475,0.749,0.032,0.547,12,1
0.713,0.046,0.029,0.384,13,0
0.12,0.51,0.154,0.263,14,0
0.588,0.109,0.045,0.335,15,0
0.136,0.447,0.107,0.37,16,0
0.403,0.578,0.012,0.435,17,1
0.223,0.746,0.2,0.507,18,3
0.246,0.762,0.178,0.532,19,3
0.075,0.232,0.012,0.5,20,1
0.002,0.393,0.044,0.536,21,1
0.516,0.523,0.012,0.293,22,0
0.487,0.719,0.012,0.385,23,0
0.754,0.701,0.139,0.42,24,3
0.414,0.174,0.116,0.296,25,0
0.212,0.287,0.047,0.255,26,0
0.294,0.186,0.012,0.484,27,1
0.335,0.181,0.015,0.581,28,1
0.294,0.186,0.012,0.39,29,0
0.29,0.185,0.012,0.457,30,1
0.29,0.187,0.016,0.421,31,1
0.293,0.186,0.012,0.378,32,0
0.491,0.755,0.128,0.373,33,3
0.637,0.607,0.112,0.585,34,1
0.302,0.184,0.033,0.554,35,1
0.293,0.187,0.031,0.387,36,0
0.6,0.806,0.037,0.272,37,0
0.293,0.187,0.012,0.263,38,0
0.343,0.215,0.124,0.349,39,0
0.72,0.583,0.015,0.521,40,1
0.687,0.689,0.047,0.423,41,1
0.189,0.289,0.132,0.521,42,1
0.603,0.575,0.012,0.365,43,0
0.298,0.186,0.012,0.46,44,1
0.294,0.186,0.012,0.356,45,0
0.288,0.225,0.012,0.384,46,0
0.277,0.186,0.012,0.379,47,0
0.447,0.976,0.043,0.419,48,1
0.735,0.046,0.012,0.305,49,0
0.255,0.754,0.224,0.526,50,3
0.725,0.679,0.012,0.425,51,1
0.061,0.517,0.031,0.426,52,1
0.605,0.6,0.012,0.292,53,0
0.599,0.785,0.012,0.341,54,0
0.286,0.224,0.053,0.581,55,1
0.834,0.723,0.077,0.625,56,1
0.71,0.045,0.031,0.387,57,0
0.642,0.617,0.111,0.3,58,0
0.838,0.724,0.056,0.596,59,1
0.758,0.558,0.032,0.291,60,0
0.724,0.68,0.033,0.336,61,0
0.282,0.225,0.012,0.353,62,0
0.447,0.732,0.012,0.275,63,0
0.693,0.69,0.012,0.354,64,0
0.24,0.73,0.047,0.596,65,1
0.15,0.23,0.027,0.516,66,1
0.801,0.696,0.052,0.464,67,1
0.92,0.687,0.162,0.502,68,3
0.774,0.721,0.162,0.487,69,3
0.184,0.77,0.081,0.575,70,1
0.514,0.987,0.024,0.358,71,0
0.728,0.68,0.012,0.489,72,1
0.726,0.68,0.012,0.469,73,1
0.852,0.682,0.012,0.406,74,1
0.039,0.529,0.037,0.48,75,1
0.609,0.594,0.012,0.358,76,0
0.587,0.767,0.012,0.312,77,0
0.538,0.126,0.048,0.404,78,1
0.172,0.264,0.029,0.303,79,0
0.512,0.561,0.012,0.366,80,0
0.664,0.608,0.012,0.529,81,1
0.641,0.655,0.012,0.399,82,0
0.642,0.621,0.142,0.532,83,1
0.285,0.709,0.551,0.472,84,2
0.681,0.075,0.075,0.494,85,1
0.293,0.186,0.015,0.34,86,0
0.172,0.263,0.027,0.282,87,0
0.503,0.525,0.012,0.231,88,0
0.109,0.339,0.012,0.38,89,0
0.125,0.393,0.132,0.277,90,0
0.207,0.733,0.251,0.505,91,3
0.092,0.541,0.124,0.431,92,3
0.162,0.296,0.063,0.398,93,0
0.729,0.681,0.053,0.546,94,1
0.499,0.581,0.012,0.369,95,0
0.258,0.775,0.211,0.498,96,3
0.255,0.219,0.063,0.511,97,1
0.249,0.216,0.012,0.439,98,1
0.73,0.683,0.012,0.53,99,1
0.479,0.757,0.012,0.303,100,0
0.144,0.612,0.156,0.417,101,3
0.166,0.263,0.012,0.317,102,0
0.496,0.579,0.012,0.26,103,0
0.506,0.57,0.012,0.22,104,0
0.727,0.68,0.012,0.408,105,1
0.192,0.509,0.024,0.268,106,0
0.731,0.681,0.053,0.494,107,1
0.73,0.682,0.059,0.548,108,1
0.731,0.683,0.055,0.549,109,1
0.435,0.733,0.012,0.254,110,0
0.932,0.022,0.005,0.339,111,0
0.722,0.681,0.111,0.431,112,1
0.452,0.859,0.021,0.582,113,1
0.415,0.588,0.012,0.305,114,0
0.427,0.734,0.012,0.416,115,1
0.475,0.976,0.172,0.497,116,3
0.324,0.182,0.012,0.353,117,0
0.597,0.123,0.012,0.478,118,1
0.225,0.224,0.012,0.633,119,1
0.466,0.978,0.051,0.347,120,0
0.767,0.701,0.108,0.431,121,1
0.096,0.479,0.052,0.448,122,1
0.341,0.165,0.013,0.302,123,0
0.058,0.51,0.012,0.425,124,1
0.505,0.572,0.012,0.343,125,0
0.645,0.615,0.156,0.483,126,3
0.605,0.051,0.012,0.55,127,1
0.671,0.622,0.318,0.36,128,3
0.178,0.28,0.033,0.274,129,0
0.123,0.376,0.015,0.269,130,0
0.093,0.389,0.017,0.318,131,0
0.753,0.686,0.012,0.401,132,0
0.095,0.48,0.028,0.369,133,0
0.142,0.314,0.027,0.486,134,1
0.636,0.609,0.012,0.385,135,0
0.645,0.752,0.019,0.355,136,0
0.797,0.726,0.023,0.451,137,1
0.885,0.689,0.045,0.553,138,1
0.447,0.929,0.097,0.507,139,1
0.174,0.583,0.012,0.434,140,1
0.172,0.268,0.012,0.379,141,0
0.213,0.273,0.025,0.219,142,0
0.518,0.7,0.027,0.317,143,0
0.714,0.675,0.012,0.521,144,1
0.557,0.609,0.015,0.583,145,1
0.246,0.253,0.16,0.585,146,1
0.171,0.296,0.071,0.498,147,1
0.295,0.184,0.028,0.361,148,0
0.204,0.27,0.092,0.419,149,1
0.554,0.962,0.012,0.221,150,0
0.559,0.96,0.037,0.306,151,0
0.285,0.178,0.044,0.553,152,1
0.2,0.29,0.15,0.31,153,0
0.334,0.17,0.044,0.299,154,0
0.232,0.563,0.02,0.424,155,1
0.601,0.869,0.012,0.446,156,1
0.73,0.683,0.072,0.595,157,1
0.488,0.735,0.013,0.357,158,0
0.44,0.7,0.063,0.431,159,1
0.437,0.755,0.013,0.423,160,1
0.173,0.249,0.012,0.341,161,0
0.629,0.608,0.041,0.334,162,0
0.631,0.875,0.017,0.55,163,1
0.634,0.607,0.012,0.29,164,0
0.171,0.268,0.02,0.487,165,1
0.171,0.269,0.021,0.361,166,0
0.675,0.099,0.012,0.403,167,1
0.271,0.191,0.013,0.238,168,0
0.514,0.9,0.108,0.514,169,1
0.636,0.608,0.012,0.41,170,1
0.552,0.96,0.012,0.504,171,1
0.538,0.957,0.033,0.426,172,1
0.243,0.77,0.198,0.608,173,3
0.395,0.945,0.212,0.469,174,3
0.409,0.602,0.012,0.364,175,0
0.504,0.568,0.012,0.315,176,0
0.278,0.768,0.224,0.531,177,3
0.404,0.704,0.069,0.513,178,1
0.626,0.69,0.012,0.421,179,1
0.423,0.915,0.239,0.435,180,3
0.518,0.981,0.012,0.583,181,1
0.478,0.752,0.023,0.597,182,1
0.356,0.173,0.071,0.6,183,1
0.443,0.735,0.012,0.262,184,0
0.51,0.987,0.012,0.366,185,0
0.697,0.674,0.012,0.495,186,1
0.781,0.691,0.031,0.496,187,1
0.293,0.186,0.012,0.432,188,1
0.483,0.747,0.012,0.372,189,0
0.723,0.721,0.111,0.499,190,1
0.105,0.423,0.031,0.371,191,0
0.521,0.445,0.012,0.381,192,0
0.132,0.364,0.024,0.301,193,0
0.206,0.254,0.084,0.288,194,0
0.718,0.642,0.017,0.473,195,1
0.702,0.676,0.029,0.395,196,0
0.142,0.462,0.119,0.345,197,0
0.25,0.254,0.012,0.4,198,0
0.149,0.365,0.12,0.279,199,0
0.222,0.549,0.78,0.614,200,2
0.188,0.747,0.075,0.647,201,1
0.665,0.586,0.202,0.47,202,3
0.478,0.764,0.012,0.331,203,0
0.202,0.744,0.187,0.523,204,3
0.953,0.008,0.14,0.447,205,3
0.45,0.946,0.124,0.51,206,1
0.402,0.934,0.097,0.523,207,1
0.414,0.978,0.097,0.311,208,0
0.406,0.839,0.012,0.433,209,1
0.197,0.77,0.08,0.504,210,1
0.233,0.219,0.069,0.458,211,1
0.436,0.777,0.103,0.43,212,1
0.208,0.654,0.498,0.502,213,2
0.296,0.184,0.012,0.312,214,0
0.248,0.776,0.108,0.628,215,1
0.909,0.004,0.012,0.559,216,1
0.908,0.629,0.012,0.533,217,1
0.49,0.959,0.012,0.367,218,0
0.77,0.689,0.012,0.383,219,0
0.666,0.662,0.012,0.361,220,0
0.169,0.274,0.027,0.275,221,0
0.037,0.321,0.012,0.454,222,1
0.806,0.729,0.287,0.528,223,3
0.276,0.771,0.19,0.562,224,3
0.163,0.309,0.104,0.76,225,1
0.158,0.309,0.1,0.576,226,1
0.755,0.645,0.311,0.51,227,3
0.157,0.31,0.096,0.478,228,1
0.151,0.309,0.099,0.389,229,0
0.152,0.309,0.084,0.433,230,1
0.154,0.31,0.036,0.354,231,0
0.153,0.308,0.039,0.457,232,1
0.165,0.31,0.039,0.519,233,1
0.15,0.307,0.1,0.452,234,1
0.153,0.308,0.067,0.45,235,1
0.151,0.309,0.084,0.345,236,0
0.149,0.31,0.039,0.431,237,1
0.153,0.309,0.072,0.361,238,0
0.15,0.309,0.053,0.379,239,0
0.153,0.31,0.053,0.489,240,1
0.156,0.309,0.096,0.565,241,1
0.149,0.309,0.068,0.325,242,0
0.152,0.309,0.075,0.355,243,0
0.636,0.793,0.012,0.251,244,0
0.496,0.951,0.013,0.322,245,0
0.15,0.309,0.057,0.324,246,0
0.152,0.309,0.035,0.32,247,0
0.151,0.309,0.059,0.431,248,1
0.156,0.31,0.069,0.337,249,0
0.531,0.955,0.049,0.392,250,0
0.495,0.795,0.012,0.329,251,0
0.166,0.309,0.064,0.366,252,0
0.152,0.308,0.081,0.305,253,0
0.149,0.309,0.056,0.326,254,0
0.153,0.309,0.091,0.322,255,0
0.153,0.31,0.083,0.414,256,1
