Latitude,Longitude,Depth,Magnitude
0.236,0.711,0.335,0.469
0.85,0.694,0.012,0.444
0.876,0.69,0.041,0.446
0.643,0.616,0.158,0.401
0.149,0.378,0.115,0.314
0.636,0.604,0.012,0.23
0.623,0.563,0.012,0.244
0.288,0.186,0.015,0.353
0.813,0.074,0.012,0.234
0.908,0.017,0.064,0.434
0.731,0.053,0.036,0.492
0.475,0.749,0.032,0.547
0.713,0.046,0.029,0.384
0.12,0.51,0.154,0.263
0.588,0.109,0.045,0.335
0.136,0.447,0.107,0.37
0.403,0.578,0.012,0.435
0.223,0.746,0.2,0.507
0.246,0.762,0.178,0.532
0.075,0.232,0.012,0.5
0.002,0.393,0.044,0.536
0.516,0.523,0.012,0.293
0.487,0.719,0.012,0.385
0.754,0.701,0.139,0.42
0.414,0.174,0.116,0.296
0.212,0.287,0.047,0.255
0.294,0.186,0.012,0.484
0.335,0.181,0.015,0.581
0.294,0.186,0.012,0.39
0.29,0.185,0.012,0.457
0.29,0.187,0.016,0.421
0.293,0.186,0.012,0.378
0.491,0.755,0.128,0.373
0.637,0.607,0.112,0.585
0.302,0.184,0.033,0.554
0.293,0.187,0.031,0.387
0.6,0.806,0.037,0.272
0.293,0.187,0.012,0.263
0.343,0.215,0.124,0.349
0.72,0.583,0.015,0.521
0.687,0.689,0.047,0.423
0.189,0.289,0.132,0.521
0.603,0.575,0.012,0.365
0.298,0.186,0.012,0.46
0.294,0.186,0.012,0.356
0.288,0.225,0.012,0.384
0.277,0.186,0.012,0.379
0.447,0.976,0.043,0.419
0.735,0.046,0.012,0.305
0.255,0.754,0.224,0.526
0.725,0.679,0.012,0.425
0.061,0.517,0.031,0.426
0.605,0.6,0.012,0.292
0.599,0.785,0.012,0.341
0.286,0.224,0.053,0.581
0.834,0.723,0.077,0.625
0.71,0.045,0.031,0.387
0.642,0.617,0.111,0.3
0.838,0.724,0.056,0.596
0.758,0.558,0.032,0.291
0.724,0.68,0.033,0.336
0.282,0.225,0.012,0.353
0.447,0.732,0.012,0.275
0.693,0.69,0.012,0.354
0.24,0.73,0.047,0.596
0.15,0.23,0.027,0.516
0.801,0.696,0.052,0.464
0.92,0.687,0.162,0.502
0.774,0.721,0.162,0.487
0.184,0.77,0.081,0.575
0.514,0.987,0.024,0.358
0.728,0.68,0.012,0.489
0.726,0.68,0.012,0.469
0.852,0.682,0.012,0.406
0.039,0.529,0.037,0.48
0.609,0.594,0.012,0.358
0.587,0.767,0.012,0.312
0.538,0.126,0.048,0.404
0.172,0.264,0.029,0.303
0.512,0.561,0.012,0.366
0.664,0.608,0.012,0.529
0.641,0.655,0.012,0.399
0.642,0.621,0.142,0.532
0.285,0.709,0.551,0.472
0.681,0.075,0.075,0.494
0.293,0.186,0.015,0.34
0.172,0.263,0.027,0.282
0.503,0.525,0.012,0.231
0.109,0.339,0.012,0.38
0.125,0.393,0.132,0.277
0.207,0.733,0.251,0.505
0.092,0.541,0.124,0.431
0.162,0.296,0.063,0.398
0.729,0.681,0.053,0.546
0.499,0.581,0.012,0.369
0.258,0.775,0.211,0.498
0.255,0.219,0.063,0.511
0.249,0.216,0.012,0.439
0.73,0.683,0.012,0.53
0.479,0.757,0.012,0.303
0.144,0.612,0.156,0.417
0.166,0.263,0.012,0.317
0.496,0.579,0.012,0.26
0.506,0.57,0.012,0.22
0.727,0.68,0.012,0.408
0.192,0.509,0.024,0.268
0.731,0.681,0.053,0.494
0.73,0.682,0.059,0.548
0.731,0.683,0.055,0.549
0.435,0.733,0.012,0.254
0.932,0.022,0.005,0.339
0.722,0.681,0.111,0.431
0.452,0.859,0.021,0.582
0.415,0.588,0.012,0.305
0.427,0.734,0.012,0.416
0.475,0.976,0.172,0.497
0.324,0.182,0.012,0.353
0.597,0.123,0.012,0.478
0.225,0.224,0.012,0.633
0.466,0.978,0.051,0.347
0.767,0.701,0.108,0.431
0.096,0.479,0.052,0.448
0.341,0.165,0.013,0.302
0.058,0.51,0.012,0.425
0.505,0.572,0.012,0.343
0.645,0.615,0.156,0.483
0.605,0.051,0.012,0.55
0.671,0.622,0.318,0.36
0.178,0.28,0.033,0.274
0.123,0.376,0.015,0.269
0.093,0.389,0.017,0.318
0.753,0.686,0.012,0.401
0.095,0.48,0.028,0.369
0.142,0.314,0.027,0.486
0.636,0.609,0.012,0.385
0.645,0.752,0.019,0.355
0.797,0.726,0.023,0.451
0.885,0.689,0.045,0.553
0.447,0.929,0.097,0.507
0.174,0.583,0.012,0.434
0.172,0.268,0.012,0.379
0.213,0.273,0.025,0.219
0.518,0.7,0.027,0.317
0.714,0.675,0.012,0.521
0.557,0.609,0.015,0.583
0.246,0.253,0.16,0.585
0.171,0.296,0.071,0.498
0.295,0.184,0.028,0.361
0.204,0.27,0.092,0.419
0.554,0.962,0.012,0.221
0.559,0.96,0.037,0.306
0.285,0.178,0.044,0.553
0.2,0.29,0.15,0.31
0.334,0.17,0.044,0.299
0.232,0.563,0.02,0.424
0.601,0.869,0.012,0.446
0.73,0.683,0.072,0.595
0.488,0.735,0.013,0.357
0.44,0.7,0.063,0.431
0.437,0.755,0.013,0.423
0.173,0.249,0.012,0.341
0.629,0.608,0.041,0.334
0.631,0.875,0.017,0.55
0.634,0.607,0.012,0.29
0.171,0.268,0.02,0.487
0.171,0.269,0.021,0.361
0.675,0.099,0.012,0.403
0.271,0.191,0.013,0.238
0.514,0.9,0.108,0.514
0.636,0.608,0.012,0.41
0.552,0.96,0.012,0.504
0.538,0.957,0.033,0.426
0.243,0.77,0.198,0.608
